pays;pop;date;is.ue;is.francais.officiel;is.francophone;code;is.otan
 ouganda;37101745;2015;0;0;0;UGA;0
 ouzbekistan;30492800;2015;0;0;0;UZB;0
 pakistan;194098063;2016;0;0;0;PAK;0
 palaos;21186;2014;0;0;0;PLW;0
 palestine;4550368;2014;0;0;0;PSE;0
 panama;3608431;2014;0;0;0;PAN;0
 papouasie-nouvelle-guinee;6552730;2014;0;0;0;PNG;0
 paraguay;6703860;2014;0;0;0;PRY;0
 pays-bas;17045144;2016;1;0;0;NLD;1
 perou;30147935;2014;0;0;0;PER;0
 philippines;102815800;2016;0;0;0;PHL;0
 pologne;37967209;2016;1;0;0;POL;1
 portugal;10341330;2016;1;0;0;PRT;1
 qatar;2334029;2015;0;0;0;QAT;0
 republique centrafricaine;5277959;2014;0;0;1;CAF;0
 republique democratique du congo;85026000;2015;0;1;1;COD;0
 republique dominicaine;9980243;2015;0;0;0;DOM;0
 republique du congo;4662446;2014;0;1;1;COG;0
 republique tcheque;10445783;2016;1;0;0;CZE;1
 roumanie;19942642;2014;1;0;0;ROU;1
 royaume-uni;65341183;2016;1;0;0;GBR;1
 russie;146544710;2016;0;0;0;RUS;0
 rwanda;12337138;2014;0;0;1;RWA;0
 saint-christophe-et-nieves;51538;2014;0;0;0;KNA;0
 sainte-lucie;163362;2014;0;0;0;LCA;0
 saint-marin;32480;2013;0;0;0;SMR;0
 saint-vincent-et-les grenadines;102918;2014;0;0;0;VCT;0
 salomon;609883;2014;0;0;0;SLB;0
 salvador;6125512;2014;0;0;0;SLV;0
 samoa;196628;2014;0;0;0;WSM;0
 sao tome-et-principe;190428;2014;0;0;0;STP;0
 senegal;13567338;2013;0;1;1;SEN;0
 serbie;7141929;2016;0;0;0;SRB;0
 seychelles;91650;2014;0;0;1;SYC;0
 sierra leone;5743725;2014;0;0;0;SLE;0
 singapour;5312400;2012;0;0;0;SGP;0
 slovaquie;5407910;2016;1;0;0;SVK;1
 slovenie;2064188;2016;1;0;0;SVN;1
 somalie;12316895;2014;0;0;0;SOM;0
 soudan;39598700;2016;0;0;0;SDN;0
 soudan du sud;11562695;2014;0;0;0;SSD;0
 sri lanka;20675000;2014;0;0;0;LKA;0
 suede;9998000;2016;1;0;0;SWE;0
 suisse;8327100;2015;0;0;1;CHE;0
 suriname;573311;2014;0;0;0;SUR;0
 swaziland;1419623;2014;0;0;0;SWZ;0
 syrie;18090242;2016;0;0;0;SYR;0
 tadjikistan;8354000;2015;0;0;0;TJK;0
 taiwan;23449287;2015;0;0;0;TWN;0
 tanzanie;55155000;2016;0;0;0;TZA;0
 tchad;11412107;2014;0;0;1;TCD;0
 thailande;65242920;2016;0;0;0;THA;0
 timor oriental;1201542;2014;0;0;0;TLS;0
 togo;7351374;2014;0;1;1;TGO;0
 tonga;106440;2014;0;0;0;TON;0
 trinite-et-tobago;1223916;2014;0;0;0;TTO;0
 tunisie;10982754;2014;0;0;0;TUN;0
 turkmenistan;5171943;2014;0;0;0;TKM;0
 turquie;78741053;2015;0;0;0;TUR;1
 tuvalu;10782;2014;0;0;0;TUV;0
 ukraine;42774605;2015;0;0;0;UKR;0
 union europeenne;510056011;2016;0;0;0;;0
 uruguay;3332972;2014;0;0;0;URY;0
 vanuatu;286434;2016;0;0;1;VUT;0
 vatican;921;2015;0;0;1;VAT;0
 venezuela;30206307;2014;0;0;0;VEN;0
 viet nam;91700000;2016;0;0;0;VNM;0
 yemen;26180000;2014;0;0;0;YEM;0
 zambie;14638505;2014;0;0;0;ZMB;0
 zimbabwe;13771721;2014;0;0;0;ZWE;0
abkhazie;240705;2011;0;0;0;;0
chypre du nord;313626;2014;0;0;0;;0
iles cook;14974;2011;0;0;0;COK;0
iles marshall;70983;2014;0;0;0;MHL;0
sahara occidental;554795;2014;0;0;0;ESH;0
