pays;is.europe;is.asie;is.afrique;is.moyen.orient;is.amerique.nord;is.amerique.sud;is.amerique centrale;is.oceanie;is.autre
 pakistan;0;1;0;0;0;0;0;0;0
 palaos;0;0;0;0;0;0;0;1;0
 palestine;0;0;0;1;0;0;0;0;0
 panama;0;0;0;0;0;0;1;0;0
 papouasie-nouvelle-guinee;0;0;0;0;0;0;0;1;0
 paraguay;0;0;0;0;0;1;0;0;0
 pays-bas;1;0;0;0;0;0;0;0;0
 perou;0;0;0;0;0;1;0;0;0
 philippines;0;0;0;0;0;0;0;1;0
 pologne;1;0;0;0;0;0;0;0;0
 portugal;1;0;0;0;0;0;0;0;0
 qatar;0;0;0;1;0;0;0;0;0
 republique centrafricaine;0;0;1;0;0;0;0;0;0
 republique democratique du congo;0;0;1;0;0;0;0;0;0
 republique dominicaine;0;0;0;0;0;0;1;0;0
 republique du congo;0;0;1;0;0;0;0;0;0
 republique tcheque;1;0;0;0;0;0;0;0;0
 roumanie;1;0;0;0;0;0;0;0;0
 royaume-uni;1;0;0;0;0;0;0;0;0
 russie;0;1;0;0;0;0;0;0;0
 rwanda;0;0;1;0;0;0;0;0;0
 saint-christophe-et-nieves;0;0;0;0;0;0;1;0;0
 sainte-lucie;0;0;0;0;0;0;1;0;0
 saint-marin;1;0;0;0;0;0;0;0;0
 saint-vincent-et-les grenadines;0;0;0;0;0;0;1;0;0
 salomon;0;0;0;0;0;0;0;1;0
 salvador;0;0;0;0;0;0;1;0;0
 samoa;0;0;0;0;0;0;0;1;0
 sao tome-et-principe;0;0;1;0;0;0;0;0;0
 senegal;0;0;1;0;0;0;0;0;0
 serbie;1;0;0;0;0;0;0;0;0
 seychelles;0;0;1;0;0;0;0;0;0
 sierra leone;0;0;1;0;0;0;0;0;0
 singapour;0;1;0;0;0;0;0;0;0
 slovaquie;1;0;0;0;0;0;0;0;0
 slovenie;1;0;0;0;0;0;0;0;0
 somalie;0;0;1;0;0;0;0;0;0
 soudan;0;0;1;0;0;0;0;0;0
 soudan du sud;0;0;1;0;0;0;0;0;0
 sri lanka;0;1;0;0;0;0;0;0;0
 suede;1;0;0;0;0;0;0;0;0
 suisse;1;0;0;0;0;0;0;0;0
 suriname;0;0;0;0;0;1;0;0;0
 swaziland;0;0;1;0;0;0;0;0;0
 syrie;0;0;0;1;0;0;0;0;0
 tadjikistan;0;1;0;0;0;0;0;0;0
 taiwan;0;1;0;0;0;0;0;0;0
 tanzanie;0;0;1;0;0;0;0;0;0
 tchad;0;0;1;0;0;0;0;0;0
 thailande;0;1;0;0;0;0;0;0;0
 timor oriental;0;0;0;0;0;0;0;1;0
 togo;0;0;1;0;0;0;0;0;0
 tonga;0;0;0;0;0;0;0;1;0
 trinite-et-tobago;0;0;0;0;0;1;0;0;0
 tunisie;0;0;1;0;0;0;0;0;0
 turkmenistan;0;1;0;0;0;0;0;0;0
 turquie;0;0;0;1;0;0;0;0;0
 tuvalu;0;0;0;0;0;0;0;1;0
 ukraine;1;0;0;0;0;0;0;0;0
 union europeenne;1;0;0;0;0;0;0;0;0
 uruguay;0;0;0;0;0;1;0;0;0
 vanuatu;0;0;0;0;0;0;0;1;0
 vatican;1;0;0;0;0;0;0;0;0
 venezuela;0;0;0;0;0;1;0;0;0
 viet nam;0;1;0;0;0;0;0;0;0
 yemen;0;0;0;1;0;0;0;0;0
 zambie;0;0;1;0;0;0;0;0;0
 zimbabwe;0;0;1;0;0;0;0;0;0
abkhazie;0;1;0;0;0;0;0;0;0
chypre du nord;1;0;0;0;0;0;0;0;0
iles cook;0;0;0;0;0;0;0;1;0
iles marshall;0;0;0;0;0;0;0;1;0
sahara occidental;0;0;1;0;0;0;0;0;0
